character;rank;LWO;rank_median;definition;pinyin;decomposition;radical;type;phonetic;semantic;freq1;freq2
蹊;3935;;3935;trail, footpath;qī;⿰足奚;足;pictophonetic;奚;足;615;99,721724125
泞;3936;3756;3846;mud, mire/ muddy, stagnant;nìng;⿰氵宁;氵;ideographic;;;614;99,722041431
撸;3937;;3937;to reprimand/ to fire an employee;lū;⿰扌鲁;扌;pictophonetic;鲁;扌;614;99,722358737
螃;3938;3125;3532;crab;páng;⿰虫旁;虫;pictophonetic;旁;虫;614;99,722676043
檬;3939;2678;3308;a type of locust tree;méng;⿰木蒙;木;pictophonetic;蒙;木;613;99,722992832
猓;3940;;3940;monkey;guǒ;⿰犭果;犭;pictophonetic;果;犭;612;99,723309105
蔷;3941;;3941;rose;qiáng;⿱艹啬;艹;pictophonetic;啬;艹;611;99,72362486
羲;3942;;3942;an ancient emperor/ breath, vapor;xī;⿱羊⿱⿻禾戈丂;羊;;;;611;99,723940616
瘸;3943;3375;3659;lameness/ paralysis of the hands or legs;qué;⿸疒⿱加肉;疒;pictophonetic;加;疒;609;99,724255338
蘸;3944;3705;3824;to dip (in ink, sauce, etc)/ to remarry;zhàn;⿱艹醮;艹;ideographic;;;609;99,72457006
蔗;3945;3556;3750;sugar cane;zhè;⿱艹庶;艹;pictophonetic;庶;艹;607;99,724883749
傀;3946;3401;3674;great, gigantic/ puppet;kuǐ;⿰亻鬼;亻;pictophonetic;鬼;亻;606;99,725196921
蚌;3947;3729;3838;oysters, mussels/ mother-of-pearl;bàng;⿰虫丰;虫;pictophonetic;丰;虫;605;99,725509576
锢;3948;;3948;to run hot metal through a mold/ to confine, to restrain, to stop;gù;⿰钅固;钅;ideographic;;;605;99,725822231
遽;3949;;3949;rapid, sudden, unexpected;jù;⿺辶豦;辶;pictophonetic;豦;辶;604;99,726134369
邃;3950;;3950;profound, mysterious, deep;suì;⿺辶⿱穴㒸;辶;pictophonetic;㒸;穴;604;99,726446507
恚;3951;;3951;anger, rage;huì;⿱圭心;心;pictophonetic;圭;心;604;99,726758645
皑;3952;;3952;brilliant white/ as white as snow;ái;⿰白岂;白;pictophonetic;岂;白;602;99,72706975
锵;3953;;3953;clang/ jingle, tinkle;qiāng;⿰钅将;钅;pictophonetic;将;钅;602;99,727380855
簌;3954;;3954;to rustle/ falling flower petals;sù;⿱⺮欶;⺮;pictophonetic;欶;⺮;602;99,727691959
焙;3955;3703;3829;to bake, to roast/ to dry by the fire;bèi;⿰火咅;火;pictophonetic;咅;火;601;99,728002547
昊;3956;965;2460;summertime/ sky, heaven;hào;⿱日天;日;ideographic;;;601;99,728313135
鹳;3957;;3957;crane, stork/ Ciconia species (various);guàn;⿰雚鸟;鸟;pictophonetic;雚;鸟;601;99,728623723
睽;3958;;3958;to stare;kuí;⿰目癸;目;pictophonetic;癸;目;600;99,728933794
刽;3959;3496;3728;to amputate, to cut off;guì;⿰会刂;刂;pictophonetic;会;刂;599;99,729243348
鳖;3960;3772;3866;turtle;biē;⿱敝鱼;鱼;pictophonetic;敝;鱼;598;99,729552386
噎;3961;;3961;to choke/ to hiccup;yē;⿰口壹;口;pictophonetic;壹;口;598;99,729861423
呗;3962;;3962;final particle of an assertion;bei;⿰口贝;口;pictophonetic;贝;口;598;99,730170461
寰;3963;;3963;country, domain, world;huán;⿱宀睘;宀;pictophonetic;睘;宀;598;99,730479498
唷;3964;;3964;final particle;yō;⿰口育;口;pictophonetic;育;口;597;99,730788019
殡;3965;;3965;funeral/ to enbalm, to inter;bìn;⿰歹宾;歹;pictophonetic;宾;歹;597;99,73109654
淖;3966;;3966;mud, slush;nào;⿰氵卓;氵;pictophonetic;卓;氵;596;99,731404544
诰;3967;;3967;to grant/ to notify, to inform/ to order;gào;⿰讠告;讠;ideographic;;;596;99,731712548
恣;3968;;3968;indulgent/ unrestrained;zì;⿱次心;心;pictophonetic;次;心;596;99,732020552
睐;3969;;3969;to squint at/ a sidelong glance;lài;⿰目来;目;pictophonetic;来;目;596;99,732328556
婵;3970;;3970;beautiful, graceful, lovely, pretty;chán;⿰女单;女;pictophonetic;单;女;595;99,732636043
榈;3971;;3971;palm tree;lǘ;⿰木闾;木;pictophonetic;闾;木;595;99,73294353
氦;3972;;3972;helium;hài;⿹气亥;气;pictophonetic;亥;气;594;99,7332505
靳;3973;;3973;a strap on a horse's breast;jìn;⿰革斤;革;pictophonetic;斤;革;592;99,733556437
蛹;3974;3842;3908;pupa, chrysalis;yǒng;⿰虫甬;虫;pictophonetic;甬;虫;592;99,733862374
鸯;3975;3650;3812;female mandarin duck (Aix galericulata);yāng;⿱央鸟;鸟;pictophonetic;央;鸟;591;99,734167794
惬;3976;;3976;satisfied, comfortable, cheerful;qiè;⿰忄⿷匚夹;忄;pictophonetic;夹;忄;591;99,734473214
蹙;3977;;3977;to frown, to knit the brows/ distressed;cù;⿱戚足;足;pictophonetic;足;戚;591;99,734778634
诙;3978;;3978;to tease, to joke with/ to ridicule, to mock;huī;⿰讠灰;讠;pictophonetic;灰;讠;590;99,735083537
眈;3979;;3979;to stare at, to gaze intently/ to delay, to hinder;dān;⿰目冘;目;pictophonetic;冘;目;590;99,73538844
罡;3980;;3980;the stars at the end of the Big Dipper;gāng;⿱罒正;罒;pictophonetic;正;罒;590;99,735693344
缮;3981;;3981;to repair, to mend/ to transcribe, to rewrite;shàn;⿰纟善;纟;pictophonetic;善;纟;589;99,73599773
胤;3982;;3982;heir, successor/ progeny, posterity;yìn;⿻儿⿱幺⺼;⺼;ideographic;;;589;99,736302116
